metric_name,metric_cn_name
commission_total_create_usd,扣点 [%]
refund_b_total_create_usd,退款B [%]
cost_total_create_usd,成本 [%]
ads_total_usd,广告 [%]
ads_cpc_cost_usd,广告-CPC[%]
ads_deal_fee_usd,广告-Deal fee[%]
ads_promotion_fee_usd,广告-PromotionFee[%]
freight_total_create_usd,运费 [%]
freight_headway_fee_create_usd,运费-头程 [%]
freight_fba_fees_create_usd,运费-尾程 [%]
freight_inventory_fee_usd,运费-月度仓储[%]
freight_long_term_storage_fee_usd,运费-长期仓储[%]
freight_other_fba_storage_usd,运费-其他FBA费用[%]
operating_jt_total_usd,仓库 [%]
operation_staff_total_usd,运营人员 [%]
support_staff_total_usd,支持人员 [%]
other_fee_total_usd,其它费用 [%]
net_profit_total_create_usd,净利润 [%]
